Source Name	Characteristics [Organism_Part]	Term Source REF	Comment [Source]	Provider	Material Type	Term Source REF	Characteristics [Organism]	Term Source REF	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Extract Name	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Scan Name	Array Data File	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [TCGA Archive Name]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [TCGA Archive Name]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [TCGA Archive Name]
TCGA-A3-3343-01A-01R-0864-07	Kidney	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-A3-3343-01A-01R-0864-07	tgen.org:nucleic_acid_extraction:clin:01	none	TCGA-A3-3343-01A-01R-0864-07	unc.edu:labeling:AgilentG4502A_07_3:01	TCGA-A3-3343-01A-01R-0864-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3343-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3343-01A-01R-0864-07	US82800149_251976011572_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3343-01A-01R-0864-07	US82800149_251976011572_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3343-01A-01R-0864-07	US82800149_251976011572_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_3:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_3:01	none	Stratagene Univeral Reference	unc.edu:labeling:AgilentG4502A_07_3:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3343-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3343-01A-01R-0864-07	US82800149_251976011572_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3343-01A-01R-0864-07	US82800149_251976011572_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3343-01A-01R-0864-07	US82800149_251976011572_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
TCGA-A3-3324-01A-01R-0864-07	Kidney	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-A3-3324-01A-01R-0864-07	tgen.org:nucleic_acid_extraction:clin:01	none	TCGA-A3-3324-01A-01R-0864-07	unc.edu:labeling:AgilentG4502A_07_3:01	TCGA-A3-3324-01A-01R-0864-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3324-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3324-01A-01R-0864-07	US82800149_251976011571_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3324-01A-01R-0864-07	US82800149_251976011571_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3324-01A-01R-0864-07	US82800149_251976011571_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_3:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_3:01	none	Stratagene Univeral Reference	unc.edu:labeling:AgilentG4502A_07_3:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3324-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3324-01A-01R-0864-07	US82800149_251976011571_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3324-01A-01R-0864-07	US82800149_251976011571_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3324-01A-01R-0864-07	US82800149_251976011571_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
TCGA-A3-3380-01A-01R-0864-07	Kidney	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-A3-3380-01A-01R-0864-07	tgen.org:nucleic_acid_extraction:clin:01	none	TCGA-A3-3380-01A-01R-0864-07	unc.edu:labeling:AgilentG4502A_07_3:01	TCGA-A3-3380-01A-01R-0864-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3380-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3380-01A-01R-0864-07	US82800149_251976011578_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3380-01A-01R-0864-07	US82800149_251976011578_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3380-01A-01R-0864-07	US82800149_251976011578_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_3:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_3:01	none	Stratagene Univeral Reference	unc.edu:labeling:AgilentG4502A_07_3:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3380-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3380-01A-01R-0864-07	US82800149_251976011578_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3380-01A-01R-0864-07	US82800149_251976011578_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3380-01A-01R-0864-07	US82800149_251976011578_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
TCGA-A3-3322-01A-01R-0864-07	Kidney	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-A3-3322-01A-01R-0864-07	tgen.org:nucleic_acid_extraction:clin:01	none	TCGA-A3-3322-01A-01R-0864-07	unc.edu:labeling:AgilentG4502A_07_3:01	TCGA-A3-3322-01A-01R-0864-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3322-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3322-01A-01R-0864-07	US82800149_251976011560_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3322-01A-01R-0864-07	US82800149_251976011560_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3322-01A-01R-0864-07	US82800149_251976011560_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_3:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_3:01	none	Stratagene Univeral Reference	unc.edu:labeling:AgilentG4502A_07_3:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3322-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3322-01A-01R-0864-07	US82800149_251976011560_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3322-01A-01R-0864-07	US82800149_251976011560_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3322-01A-01R-0864-07	US82800149_251976011560_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
TCGA-A3-3319-01A-01R-0864-07	Kidney	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-A3-3319-01A-01R-0864-07	tgen.org:nucleic_acid_extraction:clin:01	none	TCGA-A3-3319-01A-01R-0864-07	unc.edu:labeling:AgilentG4502A_07_3:01	TCGA-A3-3319-01A-01R-0864-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3319-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3319-01A-01R-0864-07	US82800149_251976011627_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3319-01A-01R-0864-07	US82800149_251976011627_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3319-01A-01R-0864-07	US82800149_251976011627_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_3:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_3:01	none	Stratagene Univeral Reference	unc.edu:labeling:AgilentG4502A_07_3:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3319-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3319-01A-01R-0864-07	US82800149_251976011627_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3319-01A-01R-0864-07	US82800149_251976011627_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3319-01A-01R-0864-07	US82800149_251976011627_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
TCGA-A3-3317-01A-01R-0864-07	Kidney	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-A3-3317-01A-01R-0864-07	tgen.org:nucleic_acid_extraction:clin:01	none	TCGA-A3-3317-01A-01R-0864-07	unc.edu:labeling:AgilentG4502A_07_3:01	TCGA-A3-3317-01A-01R-0864-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3317-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3317-01A-01R-0864-07	US82800149_251976011622_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3317-01A-01R-0864-07	US82800149_251976011622_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3317-01A-01R-0864-07	US82800149_251976011622_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_3:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_3:01	none	Stratagene Univeral Reference	unc.edu:labeling:AgilentG4502A_07_3:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3317-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3317-01A-01R-0864-07	US82800149_251976011622_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3317-01A-01R-0864-07	US82800149_251976011622_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3317-01A-01R-0864-07	US82800149_251976011622_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
TCGA-A3-3383-01A-01R-0864-07	Kidney	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-A3-3383-01A-01R-0864-07	tgen.org:nucleic_acid_extraction:clin:01	none	TCGA-A3-3383-01A-01R-0864-07	unc.edu:labeling:AgilentG4502A_07_3:01	TCGA-A3-3383-01A-01R-0864-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3383-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3383-01A-01R-0864-07	US82800149_251976011625_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3383-01A-01R-0864-07	US82800149_251976011625_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3383-01A-01R-0864-07	US82800149_251976011625_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_3:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_3:01	none	Stratagene Univeral Reference	unc.edu:labeling:AgilentG4502A_07_3:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3383-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3383-01A-01R-0864-07	US82800149_251976011625_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3383-01A-01R-0864-07	US82800149_251976011625_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3383-01A-01R-0864-07	US82800149_251976011625_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
TCGA-A3-3365-01A-01R-0864-07	Kidney	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-A3-3365-01A-01R-0864-07	tgen.org:nucleic_acid_extraction:clin:01	none	TCGA-A3-3365-01A-01R-0864-07	unc.edu:labeling:AgilentG4502A_07_3:01	TCGA-A3-3365-01A-01R-0864-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3365-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3365-01A-01R-0864-07	US82800149_251976011556_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3365-01A-01R-0864-07	US82800149_251976011556_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3365-01A-01R-0864-07	US82800149_251976011556_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_3:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_3:01	none	Stratagene Univeral Reference	unc.edu:labeling:AgilentG4502A_07_3:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-A3-3365-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-A3-3365-01A-01R-0864-07	US82800149_251976011556_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-A3-3365-01A-01R-0864-07	US82800149_251976011556_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-A3-3365-01A-01R-0864-07	US82800149_251976011556_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
TCGA-AK-3447-01A-01R-0864-07	Kidney	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-AK-3447-01A-01R-0864-07	tgen.org:nucleic_acid_extraction:clin:01	none	TCGA-AK-3447-01A-01R-0864-07	unc.edu:labeling:AgilentG4502A_07_3:01	TCGA-AK-3447-01A-01R-0864-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-AK-3447-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-AK-3447-01A-01R-0864-07	US82800149_251976011574_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-AK-3447-01A-01R-0864-07	US82800149_251976011574_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-AK-3447-01A-01R-0864-07	US82800149_251976011574_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_3:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_3:01	none	Stratagene Univeral Reference	unc.edu:labeling:AgilentG4502A_07_3:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_3:01	TCGA-AK-3447-01A-01R-0864-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_3	caArray	unc.edu:feature_extraction:AgilentG4502A_07_3:01	TCGA-AK-3447-01A-01R-0864-07	US82800149_251976011574_S01_GE2_105_Dec08.txt	Expression-Gene	Level 1	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_1.1.0.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_3:01	TCGA-AK-3447-01A-01R-0864-07	US82800149_251976011574_S01_GE2_105_Dec08.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_2.1.0.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_3:01	TCGA-AK-3447-01A-01R-0864-07	US82800149_251976011574_S01_GE2_105_Dec08.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_KIRC.AgilentG4502A_07_3.Level_3.1.0.0
